"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
556482670,,"2025-08-25 21:17:37","2025-08-25 21:48:01","TikTok Shop ID - CPS",-,580128618878567965,39.41,0.70,MP,Pending,,,,,,1730880761902040469,"JIRIFARM - Plastik Mulsa Hitam Perak Perkebunan Lebar 120 cm Hitam Silver 1 Roll 500 Meter",1730880761901974933,JIRIFARM
556055407,,"2025-08-25 07:24:31","2025-08-25 08:51:41","TikTok Shop ID - CPS",-,580119499087840953,9.12,0.27,MP,Pending,,,,,,1729599584308398467,"Gio Saverino Sepatu Flat Wanita Terbaru Korea Oslo Shoes",1729599584308332931,"Gio Saverino"
556498545,,"2025-08-25 16:16:12","2025-08-25 22:25:36","TikTok Shop ID - CPS",-,580125092419110496,6.04,0.32,MP,Pending,,,,,,1731557287995475493,"Promo Bundling Gendes Feminine Hygiene Special Summer Series Free Spray Minisize sabun  pembersih  wanita",1731557204850345509,gendes.ladyessentials
556451698,,"2025-08-25 12:38:59","2025-08-25 17:13:28","TikTok Shop MY - CPS",-,580122537121449754,13.96,0.68,MKK_76,Pending,,TTS,MY,DSP,kk04,1731461731819947366,"L/G WASHING MACHINE PULSATOR MESIN BASUH 5844EA1001 WFHF125GP/WFBS1400/WFT1001/WFT1200/WFTS1288TH/WFT1068TH/WFT1061TH/WFT1122TH/WFTS1400",1731461747749586278,VEEVIBE
556497272,,"2025-08-25 16:42:37","2025-08-25 22:22:58","TikTok Shop ID - CPS",-,580125424581379234,1.20,0.02,MP,Pending,,,,,,1730928755330090054,"Drve RETINOL ESSENCE 2 Niacinamide 10% Menyamarkan Garis Halus Meratakan Warna Kulit Merawat Kulit Berjerawat",1730928772403463238,"Drve store 1"
556423801,,"2025-08-25 13:21:11","2025-08-25 16:18:32","TikTok Shop ID - CPS",-,580123075354526848,3.74,0.03,MP,Pending,,,,,,1731724154894386798,"Paket Viva Skincare Daily / Viva skincare",1730860636725741166,"Diamond shop kosmetik"
556542330,,"2025-08-25 22:08:06","2025-08-26 02:27:17","TikTok Shop ID - CPS",-,580129258201515878,5.79,0.02,MP,Pending,,,,,,1732215518399071395,"Promo hemat 7pcs Detergen Rinso Bubuk 5000an 195gr Sabun cuci baju wangi",1732215307228513443,"Anggie grosir kdr"
556541566,,"2025-08-25 22:23:20","2025-08-26 02:25:49","TikTok Shop ID - CPS",-,580129521998922897,0.68,0.00,MP,Pending,,,,,,1731684103049151883,"Kabel Data usb Lightning Murah Warna Putih Packing Dus",1731684103049086347,Ast1688
556056705,,"2025-08-25 06:19:01","2025-08-25 08:54:26","TikTok Shop ID - CPS",-,580119217447863304,4.47,0.13,MP,Pending,,,,,,1729623786629531830,"SPESIAL LAUNCHING NEW BORN NEXT GENERATION - PAKET SKINCARE WAJAH FOR ALL SKIN ARTHA LDT FREE POUCH  [Facial Pencerah Muka]",1729623786629466294,"Artha Rejeki Olshop"
556497539,,"2025-08-25 16:38:18","2025-08-25 22:23:16","TikTok Shop ID - CPS",-,580125313483900259,5.17,0.15,MP,Pending,,,,,,1731214739990218462,"Amura CeraBright Barrier Sunscreen SPF 50 PA+++ | Melindungi Wajah dari Sinar UV Melembapkan Wajah Mencerahkan Wajah Sunscreen Kulit Berminyak Kering Jerawat",1730961193148909278,AmuraOfficial
556493956,,"2025-08-25 17:51:40","2025-08-25 22:15:31","TikTok Shop ID - CPS",-,580126134035253202,0.59,0.02,MP,Pending,,,,,,1730631616865403967,"LumiWhite - Glass & Glow Skin Mist 100ml with Peptide",1730631650032190527,beautyskin4u
556541324,,"2025-08-25 22:28:34","2025-08-26 02:25:21","TikTok Shop ID - CPS",-,580129501243082565,2.08,0.03,MKK_73,Pending,,TTS,ID,DSP,kk01,1729661403786676188,"ACNAWAY Mugwort Gel Facial Wash Cleanser Acne Friendly Face Wash - Sabun Cuci Muka untuk Kulit Berjerawat & Sensitif Membersihkan Kotoran & Mencerahkan with Mugwort + Centella + Panthenol",1729661494372960220,"ACNAWAY ID"
556421775,,"2025-08-25 14:00:00","2025-08-25 16:14:03","TikTok Shop ID - CPS",-,580123586108491430,1.47,0.04,MP,Pending,,,,,,1729638555487079250,"Spidol Ajaib Floating Pen Set 8 Pcs Warna Mengapung di Air Magic Water Marker Menggambar Kreatif Edukasi",1729591531786242898,"Taiyo Shop"
556429970,,"2025-08-25 11:17:34","2025-08-25 16:32:33","TikTok Shop ID - CPS",-,580121530288473116,3.70,0.09,MKK,Pending,,,,,,1729678319519369579,"[CHALONESE] BRIGHTENING CREAM 1 Membantu Mencerahkan Wajah dan Membantu Menghilangkan Flex Hitam pada Wajah yang Membandel (free masker)",1729639179549706603,"CHALONESE STORE 1"
556496530,,"2025-08-25 16:56:11","2025-08-25 22:21:33","TikTok Shop ID - CPS",-,580125548582438279,1.23,0.07,MP,Pending,,,,,,1730400274563892336,"GENDESESS Paket Promo Bundling Sweet Aromatic Feminine Care Spray 3 pcs Mencerahkan Kewanitaan Mengencangkan",1730400289911637104,"Juragan deodorant"
