"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540260514,"2025-07-27 20:49:22","2025-07-28 15:48:03","Shopee PH - CPS","207319762231982 | 25072799SN0V96",1.21,0.01,MP,Pending,
540260525,"2025-07-27 20:48:55","2025-07-28 15:48:05","Shopee PH - CPS","207319735205693 | 25072799RU7XM8",24.48,0.29,MP,Pending,
540260550,"2025-07-27 20:48:07","2025-07-28 15:48:08","Shopee PH - CPS","207319687243635 | 25072799QDGEFR",2.48,0.03,MP,Pending,
540260686,"2025-07-27 20:46:52","2025-07-28 15:48:21","Shopee PH - CPS","207319611241696 | 25072799N5110W",1.43,0.02,MP,Pending,
540260731,"2025-07-27 20:45:15","2025-07-28 15:48:24","Shopee PH - CPS","207319515209470 | 25072799J9E4A9",2.80,0.03,MP,Pending,
540260770,"2025-07-27 20:44:30","2025-07-28 15:48:27","Shopee PH - CPS","207319471279105 | 25072799GYHJF0",0.31,0.00,MP,Pending,
540260766,"2025-07-27 20:44:30","2025-07-28 15:48:27","Shopee PH - CPS","207319471279105 | 25072799GYHJF0",0.49,0.01,MP,Pending,
540260764,"2025-07-27 20:44:30","2025-07-28 15:48:27","Shopee PH - CPS","207319471279105 | 25072799GYHJF0",0.31,0.00,MP,Pending,
540260760,"2025-07-27 20:44:30","2025-07-28 15:48:26","Shopee PH - CPS","207319471279105 | 25072799GYHJF0",0.59,0.01,MP,Pending,
540260798,"2025-07-27 20:43:53","2025-07-28 15:48:30","Shopee PH - CPS","207319432286078 | 25072799FTBMMC",2.48,0.01,MP,Pending,
540260924,"2025-07-27 20:41:16","2025-07-28 15:48:41","Shopee PH - CPS","207319275261770 | 25072799B4KWCM",0.73,0.01,MP,Pending,
540261072,"2025-07-27 20:38:37","2025-07-28 15:48:55","Shopee PH - CPS","207319117228850 | 250727996DVU6C",3.13,0.04,MP,Pending,
